fichier,segment_id,t_start_s,t_end_s,duree_ms,label
Audio_1,59,29.5,30.0,500,silence
Audio_1,60,30.0,30.5,500,silence
Audio_1,61,30.5,31.0,500,silence
Audio_1,62,31.0,31.5,500,silence
Audio_1,63,31.5,32.0,500,silence
Audio_1,64,32.0,32.5,500,bruit_chasse
Audio_1,65,32.5,33.0,500,bruit_chasse
Audio_1,66,33.0,33.5,500,bruit_chasse
Audio_1,67,33.5,34.0,500,bruit_chasse
Audio_1,68,34.0,34.5,500,bruit_chasse
Audio_1,69,34.5,35.0,500,bruit_chasse
Audio_1,70,35.0,35.5,500,bruit_chasse
Audio_1,71,35.5,36.0,500,bruit_chasse
Audio_1,72,36.0,36.5,500,bruit_chasse
Audio_1,73,36.5,37.0,500,bruit_chasse
Audio_1,74,37.0,37.5,500,bruit_chasse
Audio_1,75,37.5,38.0,500,bruit_chasse
Audio_1,76,38.0,38.5,500,bruit_chasse
Audio_1,77,38.5,39.0,500,bruit_chasse
Audio_1,78,39.0,39.5,500,bruit_chasse
Audio_1,79,39.5,40.0,500,bruit_chasse
Audio_1,80,40.0,40.5,500,bruit_chasse
Audio_1,81,40.5,41.0,500,bruit_chasse
Audio_1,82,41.0,41.5,500,bruit_chasse
Audio_1,83,41.5,42.0,500,bruit_chasse
Audio_10,0,0.0,0.5,500,bruit_ambiant
Audio_10,1,0.5,1.0,500,bruit_ambiant
Audio_10,2,1.0,1.5,500,bruit_ambiant
Audio_10,3,1.5,2.0,500,bruit_ambiant
Audio_10,4,2.0,2.5,500,bruit_ambiant
Audio_10,5,2.5,3.0,500,bruit_ambiant
Audio_10,6,3.0,3.5,500,bruit_ambiant
Audio_10,7,3.5,4.0,500,bruit_ambiant
Audio_10,8,4.0,4.5,500,bruit_ambiant
Audio_10,9,4.5,5.0,500,bruit_ambiant
Audio_10,10,5.0,5.5,500,bruit_ambiant
Audio_10,11,5.5,6.0,500,bruit_ambiant
Audio_10,12,6.0,6.5,500,bruit_ambiant
Audio_10,13,6.5,7.0,500,bruit_ambiant
Audio_10,14,7.0,7.5,500,bruit_ambiant
Audio_10,15,7.5,8.0,500,bruit_ambiant
Audio_10,16,8.0,8.5,500,miction_active
Audio_10,17,8.5,9.0,500,miction_active
Audio_10,18,9.0,9.5,500,miction_active
Audio_10,19,9.5,10.0,500,miction_active
Audio_10,20,10.0,10.5,500,miction_active
Audio_10,21,10.5,11.0,500,miction_active
Audio_10,22,11.0,11.5,500,miction_active
Audio_10,23,11.5,12.0,500,miction_active
Audio_10,24,12.0,12.5,500,miction_active
Audio_10,25,12.5,13.0,500,miction_active
Audio_10,26,13.0,13.5,500,miction_active
Audio_10,27,13.5,14.0,500,miction_active
Audio_10,28,14.0,14.5,500,miction_active
Audio_10,29,14.5,15.0,500,miction_active
Audio_10,30,15.0,15.5,500,miction_active
Audio_10,31,15.5,16.0,500,miction_active
Audio_10,32,16.0,16.5,500,miction_active
Audio_10,33,16.5,17.0,500,miction_active
Audio_10,34,17.0,17.5,500,miction_active
Audio_10,35,17.5,18.0,500,miction_active
Audio_10,36,18.0,18.5,500,miction_active
Audio_10,37,18.5,19.0,500,miction_active
Audio_10,38,19.0,19.5,500,miction_active
Audio_10,39,19.5,20.0,500,miction_active
Audio_10,40,20.0,20.5,500,miction_active
Audio_10,41,20.5,21.0,500,miction_active
Audio_10,42,21.0,21.5,500,miction_active
Audio_10,43,21.5,22.0,500,miction_active
Audio_10,44,22.0,22.5,500,miction_active
Audio_10,45,22.5,23.0,500,miction_active
Audio_10,46,23.0,23.5,500,miction_active
Audio_10,47,23.5,24.0,500,miction_active
Audio_10,48,24.0,24.5,500,miction_active
Audio_10,49,24.5,25.0,500,miction_active
Audio_10,50,25.0,25.5,500,miction_active
Audio_10,51,25.5,26.0,500,miction_active
Audio_10,52,26.0,26.5,500,miction_active
Audio_10,53,26.5,27.0,500,bruit_chasse
Audio_10,54,27.0,27.5,500,bruit_chasse
Audio_10,55,27.5,28.0,500,bruit_chasse
Audio_10,56,28.0,28.5,500,bruit_chasse
Audio_10,57,28.5,29.0,500,bruit_chasse
Audio_10,58,29.0,29.5,500,bruit_chasse
Audio_10,59,29.5,30.0,500,bruit_chasse
Audio_10,60,30.0,30.5,500,bruit_chasse
Audio_10,61,30.5,31.0,500,bruit_chasse
Audio_10,62,31.0,31.5,500,bruit_chasse
Audio_10,63,31.5,32.0,500,bruit_chasse
Audio_11,0,0.0,0.5,500,bruit_ambiant
Audio_11,1,0.5,1.0,500,bruit_ambiant
Audio_11,2,1.0,1.5,500,bruit_ambiant
Audio_11,3,1.5,2.0,500,bruit_ambiant
Audio_11,4,2.0,2.5,500,bruit_ambiant
Audio_11,5,2.5,3.0,500,bruit_ambiant
Audio_11,6,3.0,3.5,500,bruit_ambiant
Audio_11,7,3.5,4.0,500,bruit_ambiant
Audio_11,8,4.0,4.5,500,bruit_ambiant
Audio_11,9,4.5,5.0,500,bruit_ambiant
Audio_11,10,5.0,5.5,500,bruit_ambiant
Audio_11,11,5.5,6.0,500,bruit_ambiant
Audio_11,12,6.0,6.5,500,bruit_ambiant
Audio_11,13,6.5,7.0,500,bruit_ambiant
Audio_11,14,7.0,7.5,500,bruit_ambiant
Audio_11,15,7.5,8.0,500,silence
Audio_11,16,8.0,8.5,500,silence
Audio_11,17,8.5,9.0,500,silence
Audio_11,18,9.0,9.5,500,silence
Audio_11,19,9.5,10.0,500,silence
Audio_11,20,10.0,10.5,500,miction_active
Audio_11,21,10.5,11.0,500,miction_active
Audio_11,22,11.0,11.5,500,miction_active
Audio_11,23,11.5,12.0,500,miction_active
Audio_11,24,12.0,12.5,500,miction_active
Audio_11,25,12.5,13.0,500,miction_active
Audio_11,26,13.0,13.5,500,miction_active
Audio_11,27,13.5,14.0,500,miction_active
Audio_11,28,14.0,14.5,500,miction_active
Audio_11,29,14.5,15.0,500,miction_active
Audio_11,30,15.0,15.5,500,miction_active
Audio_11,31,15.5,16.0,500,miction_active
Audio_11,32,16.0,16.5,500,miction_active
Audio_11,33,16.5,17.0,500,miction_active
Audio_11,34,17.0,17.5,500,miction_active
Audio_11,35,17.5,18.0,500,miction_active
Audio_11,36,18.0,18.5,500,miction_active
Audio_11,37,18.5,19.0,500,miction_active
Audio_11,38,19.0,19.5,500,miction_active
Audio_11,39,19.5,20.0,500,miction_active
Audio_11,40,20.0,20.5,500,miction_active
Audio_11,41,20.5,21.0,500,miction_active
Audio_11,42,21.0,21.5,500,miction_active
Audio_11,43,21.5,22.0,500,miction_active
Audio_11,44,22.0,22.5,500,miction_active
Audio_11,45,22.5,23.0,500,miction_active
Audio_11,46,23.0,23.5,500,miction_active
Audio_11,47,23.5,24.0,500,miction_active
Audio_11,48,24.0,24.5,500,miction_active
Audio_11,49,24.5,25.0,500,miction_active
Audio_11,50,25.0,25.5,500,miction_active
Audio_11,51,25.5,26.0,500,miction_active
Audio_11,52,26.0,26.5,500,miction_active
Audio_11,53,26.5,27.0,500,miction_active
Audio_11,54,27.0,27.5,500,miction_active
Audio_11,55,27.5,28.0,500,miction_active
Audio_11,56,28.0,28.5,500,miction_active
Audio_11,57,28.5,29.0,500,miction_active
Audio_11,58,29.0,29.5,500,miction_active
Audio_11,59,29.5,30.0,500,miction_active
Audio_11,60,30.0,30.5,500,miction_active
Audio_11,61,30.5,31.0,500,miction_active
Audio_11,62,31.0,31.5,500,bruit_chasse
Audio_11,63,31.5,32.0,500,bruit_chasse
Audio_11,64,32.0,32.5,500,bruit_chasse
Audio_11,65,32.5,33.0,500,bruit_chasse
Audio_11,66,33.0,33.5,500,bruit_chasse
Audio_11,67,33.5,34.0,500,bruit_chasse
Audio_11,68,34.0,34.5,500,bruit_chasse
Audio_12,0,0.0,0.5,500,bruit_ambiant
Audio_12,1,0.5,1.0,500,bruit_ambiant
Audio_12,2,1.0,1.5,500,bruit_ambiant
Audio_12,3,1.5,2.0,500,bruit_ambiant
Audio_12,4,2.0,2.5,500,bruit_ambiant
Audio_12,5,2.5,3.0,500,bruit_ambiant
Audio_12,6,3.0,3.5,500,bruit_ambiant
Audio_12,7,3.5,4.0,500,bruit_ambiant
Audio_12,8,4.0,4.5,500,bruit_ambiant
Audio_12,9,4.5,5.0,500,bruit_ambiant
Audio_12,10,5.0,5.5,500,bruit_ambiant
Audio_12,11,5.5,6.0,500,bruit_ambiant
Audio_12,12,6.0,6.5,500,bruit_ambiant
Audio_12,13,6.5,7.0,500,bruit_ambiant
Audio_12,14,7.0,7.5,500,bruit_ambiant
Audio_12,15,7.5,8.0,500,bruit_ambiant
Audio_12,16,8.0,8.5,500,bruit_ambiant
Audio_12,17,8.5,9.0,500,bruit_ambiant
Audio_12,18,9.0,9.5,500,bruit_ambiant
Audio_12,19,9.5,10.0,500,bruit_ambiant
Audio_12,20,10.0,10.5,500,bruit_ambiant
Audio_12,21,10.5,11.0,500,bruit_ambiant
Audio_12,22,11.0,11.5,500,bruit_ambiant
Audio_12,23,11.5,12.0,500,bruit_ambiant
Audio_12,24,12.0,12.5,500,bruit_ambiant
Audio_12,25,12.5,13.0,500,bruit_ambiant
Audio_12,26,13.0,13.5,500,bruit_ambiant
Audio_12,27,13.5,14.0,500,bruit_ambiant
Audio_12,28,14.0,14.5,500,bruit_ambiant
Audio_12,29,14.5,15.0,500,bruit_ambiant
Audio_12,30,15.0,15.5,500,miction_active
Audio_12,31,15.5,16.0,500,miction_active
Audio_12,32,16.0,16.5,500,miction_active
Audio_12,33,16.5,17.0,500,miction_active
Audio_12,34,17.0,17.5,500,miction_active
Audio_12,35,17.5,18.0,500,miction_active
Audio_12,36,18.0,18.5,500,miction_active
Audio_12,37,18.5,19.0,500,miction_active
Audio_12,38,19.0,19.5,500,miction_active
Audio_12,39,19.5,20.0,500,miction_active
Audio_12,40,20.0,20.5,500,miction_active
Audio_12,41,20.5,21.0,500,miction_active
Audio_12,42,21.0,21.5,500,miction_active
Audio_12,43,21.5,22.0,500,miction_active
Audio_12,44,22.0,22.5,500,miction_active
Audio_12,45,22.5,23.0,500,miction_active
Audio_12,46,23.0,23.5,500,miction_active
Audio_12,47,23.5,24.0,500,miction_active
Audio_12,48,24.0,24.5,500,miction_active
Audio_12,49,24.5,25.0,500,miction_active
Audio_12,50,25.0,25.5,500,miction_active
Audio_12,51,25.5,26.0,500,miction_active
Audio_12,52,26.0,26.5,500,miction_active
Audio_12,53,26.5,27.0,500,miction_active
Audio_12,54,27.0,27.5,500,miction_active
Audio_12,55,27.5,28.0,500,miction_active
Audio_12,56,28.0,28.5,500,miction_active
Audio_12,57,28.5,29.0,500,miction_active
Audio_12,58,29.0,29.5,500,bruit_ambiant
Audio_12,59,29.5,30.0,500,bruit_ambiant
Audio_12,60,30.0,30.5,500,bruit_ambiant
Audio_12,61,30.5,31.0,500,bruit_ambiant
Audio_12,62,31.0,31.5,500,bruit_ambiant
Audio_12,63,31.5,32.0,500,bruit_ambiant
Audio_12,64,32.0,32.5,500,bruit_ambiant
Audio_12,65,32.5,33.0,500,bruit_ambiant
Audio_12,66,33.0,33.5,500,bruit_ambiant
Audio_12,67,33.5,34.0,500,bruit_ambiant
Audio_12,68,34.0,34.5,500,bruit_ambiant
Audio_12,69,34.5,35.0,500,bruit_ambiant
Audio_12,70,35.0,35.5,500,bruit_ambiant
Audio_12,71,35.5,36.0,500,bruit_chasse
Audio_12,72,36.0,36.5,500,bruit_chasse
Audio_12,73,36.5,37.0,500,bruit_chasse
Audio_12,74,37.0,37.5,500,bruit_chasse
Audio_12,75,37.5,38.0,500,bruit_chasse
Audio_12,76,38.0,38.5,500,bruit_chasse
Audio_12,77,38.5,39.0,500,bruit_chasse
Audio_12,78,39.0,39.5,500,bruit_chasse
Audio_13,0,0.0,0.5,500,bruit_ambiant
Audio_13,1,0.5,1.0,500,bruit_ambiant
Audio_13,2,1.0,1.5,500,bruit_ambiant
Audio_13,3,1.5,2.0,500,bruit_ambiant
Audio_13,4,2.0,2.5,500,bruit_ambiant
Audio_13,5,2.5,3.0,500,bruit_ambiant
Audio_13,6,3.0,3.5,500,bruit_ambiant
Audio_13,7,3.5,4.0,500,bruit_ambiant
Audio_13,8,4.0,4.5,500,bruit_ambiant
Audio_13,9,4.5,5.0,500,bruit_ambiant
Audio_13,10,5.0,5.5,500,bruit_ambiant
Audio_13,11,5.5,6.0,500,bruit_ambiant
Audio_13,12,6.0,6.5,500,bruit_ambiant
Audio_13,13,6.5,7.0,500,bruit_ambiant
Audio_13,14,7.0,7.5,500,bruit_ambiant
Audio_13,15,7.5,8.0,500,bruit_ambiant
Audio_13,16,8.0,8.5,500,bruit_ambiant
Audio_13,17,8.5,9.0,500,bruit_ambiant
Audio_13,18,9.0,9.5,500,bruit_ambiant
Audio_13,19,9.5,10.0,500,bruit_ambiant
Audio_13,20,10.0,10.5,500,miction_active
Audio_13,21,10.5,11.0,500,miction_active
Audio_13,22,11.0,11.5,500,miction_active
Audio_13,23,11.5,12.0,500,miction_active
Audio_13,24,12.0,12.5,500,miction_active
Audio_13,25,12.5,13.0,500,miction_active
Audio_13,26,13.0,13.5,500,miction_active
Audio_13,27,13.5,14.0,500,miction_active
Audio_13,28,14.0,14.5,500,miction_active
Audio_13,29,14.5,15.0,500,miction_active
Audio_13,30,15.0,15.5,500,miction_active
Audio_13,31,15.5,16.0,500,miction_active
Audio_13,32,16.0,16.5,500,miction_active
Audio_13,33,16.5,17.0,500,miction_active
Audio_13,34,17.0,17.5,500,miction_active
Audio_13,35,17.5,18.0,500,miction_active
Audio_13,36,18.0,18.5,500,miction_active
Audio_13,37,18.5,19.0,500,miction_active
Audio_13,38,19.0,19.5,500,miction_active
Audio_13,39,19.5,20.0,500,miction_active
Audio_13,40,20.0,20.5,500,miction_active
Audio_13,41,20.5,21.0,500,miction_active
Audio_13,42,21.0,21.5,500,miction_active
Audio_13,43,21.5,22.0,500,miction_active
Audio_13,44,22.0,22.5,500,miction_active
Audio_13,45,22.5,23.0,500,miction_active
Audio_13,46,23.0,23.5,500,miction_active
Audio_13,47,23.5,24.0,500,miction_active
Audio_13,48,24.0,24.5,500,miction_active
Audio_13,49,24.5,25.0,500,miction_active
Audio_13,50,25.0,25.5,500,miction_active
Audio_13,51,25.5,26.0,500,miction_active
Audio_13,52,26.0,26.5,500,silence
Audio_13,53,26.5,27.0,500,silence
Audio_13,54,27.0,27.5,500,silence
Audio_13,55,27.5,28.0,500,silence
Audio_13,56,28.0,28.5,500,silence
Audio_13,57,28.5,29.0,500,silence
Audio_13,58,29.0,29.5,500,silence
Audio_13,59,29.5,30.0,500,silence
Audio_13,60,30.0,30.5,500,silence
Audio_13,61,30.5,31.0,500,silence
Audio_13,62,31.0,31.5,500,bruit_chasse
Audio_13,63,31.5,32.0,500,bruit_chasse
Audio_13,64,32.0,32.5,500,bruit_chasse
Audio_13,65,32.5,33.0,500,bruit_chasse
Audio_13,66,33.0,33.5,500,bruit_chasse
Audio_13,67,33.5,34.0,500,bruit_chasse
Audio_13,68,34.0,34.5,500,bruit_chasse
Audio_14,0,0.0,0.5,500,bruit_ambiant
Audio_14,1,0.5,1.0,500,bruit_ambiant
Audio_14,2,1.0,1.5,500,bruit_ambiant
Audio_14,3,1.5,2.0,500,bruit_ambiant
Audio_14,4,2.0,2.5,500,bruit_ambiant
Audio_14,5,2.5,3.0,500,bruit_ambiant
Audio_14,6,3.0,3.5,500,bruit_ambiant
Audio_14,7,3.5,4.0,500,bruit_ambiant
Audio_14,8,4.0,4.5,500,bruit_ambiant
Audio_14,9,4.5,5.0,500,bruit_ambiant
Audio_14,10,5.0,5.5,500,bruit_ambiant
Audio_14,11,5.5,6.0,500,bruit_ambiant
Audio_14,12,6.0,6.5,500,bruit_ambiant
Audio_14,13,6.5,7.0,500,bruit_ambiant
Audio_14,14,7.0,7.5,500,bruit_ambiant
Audio_14,15,7.5,8.0,500,bruit_ambiant
Audio_14,16,8.0,8.5,500,bruit_ambiant
Audio_14,17,8.5,9.0,500,bruit_ambiant
Audio_14,18,9.0,9.5,500,bruit_ambiant
Audio_14,19,9.5,10.0,500,bruit_ambiant
Audio_14,20,10.0,10.5,500,bruit_ambiant
Audio_14,21,10.5,11.0,500,bruit_ambiant
Audio_14,22,11.0,11.5,500,bruit_ambiant
Audio_14,23,11.5,12.0,500,bruit_ambiant
Audio_14,24,12.0,12.5,500,bruit_ambiant
Audio_14,25,12.5,13.0,500,bruit_ambiant
Audio_14,26,13.0,13.5,500,bruit_ambiant
Audio_14,27,13.5,14.0,500,bruit_ambiant
Audio_14,28,14.0,14.5,500,miction_active
Audio_14,29,14.5,15.0,500,miction_active
Audio_14,30,15.0,15.5,500,miction_active
Audio_14,31,15.5,16.0,500,miction_active
Audio_14,32,16.0,16.5,500,miction_active
Audio_14,33,16.5,17.0,500,miction_active
Audio_14,34,17.0,17.5,500,miction_active
Audio_14,35,17.5,18.0,500,miction_active
Audio_14,36,18.0,18.5,500,miction_active
Audio_14,37,18.5,19.0,500,miction_active
Audio_14,38,19.0,19.5,500,miction_active
Audio_14,39,19.5,20.0,500,miction_active
Audio_14,40,20.0,20.5,500,miction_active
Audio_14,41,20.5,21.0,500,miction_active
Audio_14,42,21.0,21.5,500,miction_active
Audio_14,43,21.5,22.0,500,miction_active
Audio_14,44,22.0,22.5,500,miction_active
Audio_14,45,22.5,23.0,500,miction_active
Audio_14,46,23.0,23.5,500,miction_active
Audio_14,47,23.5,24.0,500,miction_active
Audio_14,48,24.0,24.5,500,miction_active
Audio_14,49,24.5,25.0,500,miction_active
Audio_14,50,25.0,25.5,500,miction_active
Audio_14,51,25.5,26.0,500,miction_active
Audio_14,52,26.0,26.5,500,miction_active
Audio_14,53,26.5,27.0,500,miction_active
Audio_14,54,27.0,27.5,500,miction_active
Audio_14,55,27.5,28.0,500,miction_active
Audio_14,56,28.0,28.5,500,miction_active
Audio_14,57,28.5,29.0,500,miction_active
Audio_14,58,29.0,29.5,500,miction_active
Audio_14,59,29.5,30.0,500,miction_active
Audio_14,60,30.0,30.5,500,miction_active
Audio_14,61,30.5,31.0,500,miction_active
Audio_14,62,31.0,31.5,500,miction_active
Audio_14,63,31.5,32.0,500,miction_active
Audio_14,64,32.0,32.5,500,miction_active
Audio_14,65,32.5,33.0,500,bruit_ambiant
Audio_14,66,33.0,33.5,500,bruit_ambiant
Audio_14,67,33.5,34.0,500,bruit_ambiant
Audio_14,68,34.0,34.5,500,bruit_ambiant
Audio_14,69,34.5,35.0,500,bruit_ambiant
Audio_14,70,35.0,35.5,500,bruit_ambiant
Audio_14,71,35.5,36.0,500,bruit_ambiant
Audio_14,72,36.0,36.5,500,bruit_ambiant
Audio_14,73,36.5,37.0,500,bruit_ambiant
Audio_14,74,37.0,37.5,500,bruit_ambiant
Audio_14,75,37.5,38.0,500,bruit_ambiant
Audio_14,76,38.0,38.5,500,bruit_ambiant
Audio_14,77,38.5,39.0,500,bruit_ambiant
Audio_14,78,39.0,39.5,500,bruit_ambiant
Audio_14,79,39.5,40.0,500,bruit_ambiant
Audio_14,80,40.0,40.5,500,bruit_ambiant
Audio_14,81,40.5,41.0,500,bruit_ambiant
Audio_14,82,41.0,41.5,500,bruit_ambiant
Audio_14,83,41.5,42.0,500,bruit_chasse
Audio_14,84,42.0,42.5,500,bruit_chasse
Audio_14,85,42.5,43.0,500,bruit_chasse
Audio_14,86,43.0,43.5,500,bruit_chasse
Audio_14,87,43.5,44.0,500,bruit_chasse
Audio_14,88,44.0,44.5,500,bruit_chasse
Audio_14,89,44.5,45.0,500,bruit_chasse
Audio_14,90,45.0,45.5,500,bruit_chasse
Audio_14,91,45.5,46.0,500,bruit_chasse
Audio_14,92,46.0,46.5,500,bruit_chasse
Audio_14,93,46.5,47.0,500,bruit_chasse
Audio_14,94,47.0,47.5,500,bruit_chasse
Audio_14,95,47.5,48.0,500,bruit_chasse
Audio_15,0,0.0,0.5,500,bruit_ambiant
Audio_15,1,0.5,1.0,500,bruit_ambiant
Audio_15,2,1.0,1.5,500,bruit_ambiant
Audio_15,3,1.5,2.0,500,bruit_ambiant
Audio_15,4,2.0,2.5,500,bruit_ambiant
Audio_15,5,2.5,3.0,500,bruit_ambiant
Audio_15,6,3.0,3.5,500,bruit_ambiant
Audio_15,7,3.5,4.0,500,bruit_ambiant
Audio_15,8,4.0,4.5,500,bruit_ambiant
Audio_15,9,4.5,5.0,500,bruit_ambiant
Audio_15,10,5.0,5.5,500,bruit_ambiant
Audio_15,11,5.5,6.0,500,bruit_ambiant
Audio_15,12,6.0,6.5,500,bruit_ambiant
Audio_15,13,6.5,7.0,500,bruit_ambiant
Audio_15,14,7.0,7.5,500,bruit_ambiant
Audio_15,15,7.5,8.0,500,bruit_ambiant
Audio_15,16,8.0,8.5,500,bruit_ambiant
Audio_15,17,8.5,9.0,500,bruit_ambiant
Audio_15,18,9.0,9.5,500,bruit_ambiant
Audio_15,19,9.5,10.0,500,bruit_ambiant
Audio_15,20,10.0,10.5,500,miction_active
Audio_15,21,10.5,11.0,500,miction_active
Audio_15,22,11.0,11.5,500,miction_active
Audio_15,23,11.5,12.0,500,miction_active
Audio_15,24,12.0,12.5,500,miction_active
Audio_15,25,12.5,13.0,500,miction_active
Audio_15,26,13.0,13.5,500,miction_active
Audio_15,27,13.5,14.0,500,miction_active
Audio_15,28,14.0,14.5,500,miction_active
Audio_15,29,14.5,15.0,500,miction_active
Audio_15,30,15.0,15.5,500,miction_active
Audio_15,31,15.5,16.0,500,miction_active
Audio_15,32,16.0,16.5,500,miction_active
Audio_15,33,16.5,17.0,500,miction_active
Audio_15,34,17.0,17.5,500,miction_active
Audio_15,35,17.5,18.0,500,miction_active
Audio_15,36,18.0,18.5,500,miction_active
Audio_15,37,18.5,19.0,500,miction_active
Audio_15,38,19.0,19.5,500,miction_active
Audio_15,39,19.5,20.0,500,miction_active
Audio_15,40,20.0,20.5,500,miction_active
Audio_15,41,20.5,21.0,500,miction_active
Audio_15,42,21.0,21.5,500,miction_active
Audio_15,43,21.5,22.0,500,miction_active
Audio_15,44,22.0,22.5,500,miction_active
Audio_15,45,22.5,23.0,500,miction_active
Audio_15,46,23.0,23.5,500,miction_active
Audio_15,47,23.5,24.0,500,miction_active
Audio_15,48,24.0,24.5,500,miction_active
Audio_15,49,24.5,25.0,500,miction_active
Audio_15,50,25.0,25.5,500,bruit_ambiant
Audio_15,51,25.5,26.0,500,bruit_ambiant
Audio_15,52,26.0,26.5,500,bruit_ambiant
Audio_15,53,26.5,27.0,500,bruit_ambiant
Audio_15,54,27.0,27.5,500,bruit_ambiant
Audio_15,55,27.5,28.0,500,bruit_ambiant
Audio_15,56,28.0,28.5,500,bruit_ambiant
Audio_15,57,28.5,29.0,500,bruit_ambiant
Audio_15,58,29.0,29.5,500,bruit_ambiant
Audio_15,59,29.5,30.0,500,bruit_ambiant
Audio_15,60,30.0,30.5,500,bruit_ambiant
Audio_15,61,30.5,31.0,500,bruit_ambiant
Audio_15,62,31.0,31.5,500,bruit_ambiant
Audio_15,63,31.5,32.0,500,bruit_chasse
Audio_15,64,32.0,32.5,500,bruit_chasse
Audio_15,65,32.5,33.0,500,bruit_chasse
Audio_15,66,33.0,33.5,500,bruit_chasse
Audio_15,67,33.5,34.0,500,bruit_chasse
Audio_15,68,34.0,34.5,500,bruit_chasse
Audio_15,69,34.5,35.0,500,bruit_chasse
Audio_15,70,35.0,35.5,500,bruit_chasse
Audio_15,71,35.5,36.0,500,bruit_chasse
Audio_15,72,36.0,36.5,500,bruit_chasse
Audio_15,73,36.5,37.0,500,bruit_chasse
Audio_16,0,0.0,0.5,500,bruit_ambiant
Audio_16,1,0.5,1.0,500,bruit_ambiant
Audio_16,2,1.0,1.5,500,bruit_ambiant
Audio_16,3,1.5,2.0,500,bruit_ambiant
Audio_16,4,2.0,2.5,500,bruit_ambiant
Audio_16,5,2.5,3.0,500,bruit_ambiant
Audio_16,6,3.0,3.5,500,bruit_ambiant
Audio_16,7,3.5,4.0,500,bruit_ambiant
Audio_16,8,4.0,4.5,500,bruit_ambiant
Audio_16,9,4.5,5.0,500,bruit_ambiant
Audio_16,10,5.0,5.5,500,bruit_ambiant
Audio_16,11,5.5,6.0,500,bruit_ambiant
Audio_16,12,6.0,6.5,500,bruit_ambiant
Audio_16,13,6.5,7.0,500,bruit_ambiant
Audio_16,14,7.0,7.5,500,bruit_ambiant
Audio_16,15,7.5,8.0,500,bruit_ambiant
Audio_16,16,8.0,8.5,500,bruit_ambiant
Audio_16,17,8.5,9.0,500,bruit_ambiant
Audio_16,18,9.0,9.5,500,bruit_ambiant
Audio_16,19,9.5,10.0,500,bruit_ambiant
Audio_16,20,10.0,10.5,500,bruit_ambiant
Audio_16,21,10.5,11.0,500,bruit_ambiant
Audio_16,22,11.0,11.5,500,bruit_ambiant
Audio_16,23,11.5,12.0,500,bruit_ambiant
Audio_16,24,12.0,12.5,500,bruit_ambiant
Audio_16,25,12.5,13.0,500,bruit_ambiant
